author,title,patch,project,contribution_type,date,commit,issue
barraponto,,,/project/ctools,commit,2015-08-19 07:46:00+00:00,http://drupalcode.org/project/ctools.git/commit/467d628,/node/2222513
barraponto,,,/project/ctools,commit,2015-08-19 07:46:00+00:00,http://drupalcode.org/project/ctools.git/commit/152d1fa,/node/2222513
barraponto,,,/project/bootstrap_library,commit,2015-06-17 16:27:00+00:00,http://drupalcode.org/project/bootstrap_library.git/commit/2ea8345,/node/2307267
barraponto,,,/project/drustack,commit,2015-04-11 15:01:00+00:00,http://drupalcode.org/project/drustack.git/commit/fb9a515,/node/2222513
barraponto,,,/project/radix,commit,2015-01-31 20:08:00+00:00,http://drupalcode.org/project/radix.git/commit/07dc3ad,/node/2201773
barraponto,,,/project/field_group,commit,2014-06-04 21:35:00+00:00,http://drupalcode.org/project/field_group.git/commit/1c4f459,/node/2223269
barraponto,,,/sandbox/webflo/2281183,commit,2014-06-04 21:35:00+00:00,http://drupalcode.org/sandbox/webflo/2281183.git/commit/1c4f459,/node/2223269
barraponto,,,/project/panopoly_admin,commit,2014-04-12 17:30:00+00:00,http://drupalcode.org/project/panopoly_admin.git/commit/469d6d6,/node/2201695
barraponto,,,/project/radix,commit,2014-03-22 16:10:00+00:00,http://drupalcode.org/project/radix.git/commit/aea09f9,/node/2223703
barraponto,,,/project/radix,commit,2014-03-22 15:38:00+00:00,http://drupalcode.org/project/radix.git/commit/7bde9a0,/node/2223691
barraponto,,,/project/radix,commit,2014-03-21 19:56:00+00:00,http://drupalcode.org/project/radix.git/commit/771a523,/node/2223337
barraponto,,,/project/radix,commit,2014-02-27 03:50:00+00:00,http://drupalcode.org/project/radix.git/commit/1148ef9,/node/2206229
barraponto,,,/project/radix,commit,2014-02-26 22:21:00+00:00,http://drupalcode.org/project/radix.git/commit/def16dc,/node/2204193
barraponto,,,/project/radix,commit,2014-02-26 22:18:00+00:00,http://drupalcode.org/project/radix.git/commit/705edd1,/node/2190325
barraponto,,,/project/radix,commit,2014-02-25 08:01:00+00:00,http://drupalcode.org/project/radix.git/commit/583a1b3,/node/2204117
barraponto,,,/project/panopoly_core,commit,2014-02-15 12:50:00+00:00,http://drupalcode.org/project/panopoly_core.git/commit/fe9fc21,/node/2196661
barraponto,,,/project/radix,commit,2014-02-07 20:56:00+00:00,http://drupalcode.org/project/radix.git/commit/30e031c,/node/2191033
barraponto,,,/project/radix,commit,2014-02-07 15:27:00+00:00,http://drupalcode.org/project/radix.git/commit/b914583,/node/2191045
barraponto,,,/project/radix,commit,2014-02-06 19:54:00+00:00,http://drupalcode.org/project/radix.git/commit/74f65fa,/node/2188883
barraponto,,,/project/infrastructure,commit,2014-01-27 20:37:00+00:00,http://drupalcode.org/project/infrastructure.git/commit/1a5c3ee,/node/669910
barraponto,,,/project/infrastructure,commit,2014-01-26 22:20:00+00:00,http://drupalcode.org/project/infrastructure.git/commit/311211d,/node/669910
barraponto,,,/project/field_validation,commit,2014-01-26 07:46:00+00:00,http://drupalcode.org/project/field_validation.git/commit/a84d1d1,
barraponto,,,/project/doabarrelroll,commit,2013-10-08 12:06:00+00:00,http://drupalcode.org/project/doabarrelroll.git/commit/2a48334,
barraponto,,,/project/msnf,commit,2013-10-05 18:55:00+00:00,http://drupalcode.org/project/msnf.git/commit/7872af9,/node/2105507
barraponto,,,/sandbox/primsi/2266343,commit,2013-10-05 18:55:00+00:00,http://drupalcode.org/sandbox/primsi/2266343.git/commit/7872af9,/node/2105507
barraponto,Provide Field Group panes for entity edit forms,,/project/ctools,issue,2014-03-20 19:47:00+00:00,,https://www.drupal.org/node/2222513
barraponto,,https://www.drupal.org/files/issues/fieldable_panels_panes-context_substitutions-2018329-8.patch,/project/fieldable_panels_panes,patch,2014-02-14 13:48:00+00:00,,https://www.drupal.org/node/2018329
barraponto,,https://www.drupal.org/files/issues/ctools-field_group_form_panes.patch,/project/ctools,patch,2014-03-20 19:48:00+00:00,,https://www.drupal.org/node/2222513
barraponto,,https://www.drupal.org/files/issues/fieldable_panels_panes-context_substitutions-2018329-10.patch,/project/fieldable_panels_panes,patch,2014-02-15 00:18:00+00:00,,https://www.drupal.org/node/2018329
barraponto,,https://www.drupal.org/files/342316_option_add_attributes-74.patch,/project/drupal,patch,2012-11-22 01:44:00+00:00,,https://www.drupal.org/node/342316
barraponto,,https://www.drupal.org/files/issues/menu_icons-hover_icons-1259302-40.patch,/project/menu_icons,patch,2015-03-01 00:06:00+00:00,,https://www.drupal.org/node/1259302
barraponto,,https://www.drupal.org/files/views-exposed-forms-ajax-support-1183418-26.patch,/project/views,patch,2012-11-22 15:09:00+00:00,,https://www.drupal.org/node/1183418
barraponto,,https://www.drupal.org/files/drupal-939462-86.patch,/project/drupal,patch,2012-04-18 05:42:00+00:00,,https://www.drupal.org/node/939462
barraponto,,,/project/commerce_shipping,commit,2013-09-24 07:06:00+00:00,http://drupalcode.org/project/commerce_shipping.git/commit/c9d2901,/node/1992734
barraponto,,https://www.drupal.org/files/views-exposed-forms-ajax-support-1183418-28.patch,/project/views,patch,2012-11-22 15:34:00+00:00,,https://www.drupal.org/node/1183418
barraponto,,https://www.drupal.org/files/views-exposed-forms-ajax-support-1183418-30.patch,/project/views,patch,2012-11-22 16:04:00+00:00,,https://www.drupal.org/node/1183418
barraponto,,https://www.drupal.org/files/views-exposed-forms-ajax-support-1183418-32.patch,/project/views,patch,2012-11-22 16:36:00+00:00,,https://www.drupal.org/node/1183418
barraponto,,https://www.drupal.org/files/workbench_moderation_notes-1606704-5.patch,/project/workbench_moderation_notes,patch,2013-03-22 01:25:00+00:00,,https://www.drupal.org/node/1606704
barraponto,,https://www.drupal.org/files/drupal-939462-86-88.interdiff.txt,/project/drupal,patch,2012-04-18 06:50:00+00:00,,https://www.drupal.org/node/939462
barraponto,,,/sandbox/webflo/2281183,commit,2013-08-27 21:08:00+00:00,http://drupalcode.org/sandbox/webflo/2281183.git/commit/3496288,/node/1963740
barraponto,,,/project/field_group,commit,2013-08-27 21:08:00+00:00,http://drupalcode.org/project/field_group.git/commit/3496288,/node/1963740
barraponto,,,/project/profile2_regpath,commit,2013-07-30 21:46:00+00:00,http://drupalcode.org/project/profile2_regpath.git/commit/7193c1a,/node/1340068
barraponto,,,/project/profile2_regpath,commit,2013-07-30 21:25:00+00:00,http://drupalcode.org/project/profile2_regpath.git/commit/ff9c482,/node/1340068
barraponto,,https://www.drupal.org/files/issues/views-exposed_form_ajax_support-1183418-106.patch,/project/views,patch,2015-09-18 02:56:00+00:00,,https://www.drupal.org/node/1183418
barraponto,,https://www.drupal.org/files/905914-redirect-reenable-global-redirections-97.patch,/project/redirect,patch,2012-08-18 14:17:00+00:00,,https://www.drupal.org/node/905914
barraponto,,,/project/commerce_cielo,commit,2013-06-08 01:29:00+00:00,http://drupalcode.org/project/commerce_cielo.git/commit/5f25a72,/node/1672810
barraponto,,,/project/kalatheme,commit,2013-05-30 00:45:00+00:00,http://drupalcode.org/project/kalatheme.git/commit/801fe00,/node/1908042
barraponto,,,/project/kalatheme,commit,2013-05-29 23:41:00+00:00,http://drupalcode.org/project/kalatheme.git/commit/e452ff2,/node/1935440
barraponto,,,/project/panopoly_admin,commit,2013-05-20 05:25:00+00:00,http://drupalcode.org/project/panopoly_admin.git/commit/a0e9881,/node/1980506
barraponto,Use input group component for Input Format Widget,,/project/radix,issue,2014-03-21 20:40:00+00:00,,https://www.drupal.org/node/2223365
barraponto,Do not validate forms when 'previous' button is clicked,,/project/msnf,issue,2013-10-05 16:57:00+00:00,,https://www.drupal.org/node/2105507
barraponto,,https://www.drupal.org/files/msnf-do-not-validate-forms-2105507-1.patch,/project/msnf,patch,2013-10-05 17:08:00+00:00,,https://www.drupal.org/node/2105507
barraponto,,https://www.drupal.org/files/issues/zen-zen_preprocess-called-too-early_0.patch,/project/zen,patch,2011-09-04 13:43:00+00:00,,https://www.drupal.org/node/1168324
barraponto,Features creation needs work,,/project/radix,issue,2014-02-08 03:26:00+00:00,,https://www.drupal.org/node/2191577
barraponto,Micro optimization in text_field_load,,/project/drupal,issue,2012-04-14 18:23:00+00:00,,https://www.drupal.org/node/1533276
barraponto,,https://www.drupal.org/files/1533276-core-micro-optimization-text-field-load.patch,/project/drupal,patch,2012-04-14 18:25:00+00:00,,https://www.drupal.org/node/1533276
barraponto,Choose composed_field components to display in views,,/project/composed_field,issue,2014-03-24 18:30:00+00:00,,https://www.drupal.org/node/2224943
barraponto,,,/sandbox/webflo/2039805,commit,2013-04-08 20:30:00+00:00,http://drupalcode.org/sandbox/webflo/2039805.git/commit/b9120a1,/node/1964892
barraponto,,,/project/markdown,commit,2013-04-08 20:30:00+00:00,http://drupalcode.org/project/markdown.git/commit/b9120a1,/node/1964892
barraponto,,,/project/markdown,commit,2013-04-08 19:58:00+00:00,http://drupalcode.org/project/markdown.git/commit/4d6815a,/node/1964712
barraponto,,,/sandbox/webflo/2039805,commit,2013-04-08 19:58:00+00:00,http://drupalcode.org/sandbox/webflo/2039805.git/commit/4d6815a,/node/1964712
barraponto,,https://www.drupal.org/files/date-increment-1355256-19.patch,/project/date,patch,2012-07-16 23:55:00+00:00,,https://www.drupal.org/node/1355256
barraponto,Add 'Help' region to Radix,,/project/radix,issue,2015-06-12 15:01:00+00:00,,https://www.drupal.org/node/2505249
barraponto,,https://www.drupal.org/files/issues/radix-bootstrap_text_format_as_input_group.patch,/project/radix,patch,2014-03-26 22:07:00+00:00,,https://www.drupal.org/node/2223365
barraponto,,https://www.drupal.org/files/issues/radix-textinput.png,/project/radix,patch,2014-04-03 23:44:00+00:00,,https://www.drupal.org/node/2223365
barraponto,,https://www.drupal.org/files/issues/composed_field-choose_composed_fields_components_to_display_in_views-2224943.patch,/project/composed_field,patch,2014-03-24 18:38:00+00:00,,https://www.drupal.org/node/2224943
barraponto,,https://www.drupal.org/files/issues/composed_field-choose_composed_fields_components_to_display_in_views-2224943-2.patch,/project/composed_field,patch,2014-03-24 18:40:00+00:00,,https://www.drupal.org/node/2224943
barraponto,,,/project/feeds,commit,2012-12-26 17:51:00+00:00,http://drupalcode.org/project/feeds.git/commit/cee5987,/node/1874322
